check_key,trigger_type,trigger_key,biomarker_name,weight,max_priority_tier,is_blood_marker,is_screening,reason_template
preventive_screening_germany,age,age|18|,Chlamydia (Urine),5,core_now,0,1,"Based on German health guidelines, a Chlamydia (Urine) is recommended at age 18."
preventive_screening_germany,age,age|18|,Dental,5,core_now,0,1,"Based on German health guidelines, a Dental is recommended at age 18."
preventive_screening_germany,age,age|18|,Physical,5,core_now,0,1,"Based on German health guidelines, a Physical is recommended at age 18."
preventive_screening_germany,family_history,family_history|Early breast/colon cancer|,Genetic counseling if BRCA+,9,core_now,0,1,Your family history of 'Early breast/colon cancer' makes this Genetic counseling if BRCA+ a high priority for early detection.
preventive_screening_germany,age,age|19|,Chlamydia,5,core_now,0,1,"Based on German health guidelines, a Chlamydia is recommended at age 19."
preventive_screening_germany,age,age|19|,Dental,5,core_now,0,1,"Based on German health guidelines, a Dental is recommended at age 19."
preventive_screening_germany,family_history,family_history|HPV risk|,Early Ultrasound (US),9,core_now,0,1,Your family history of 'HPV risk' makes this Early Ultrasound (US) a high priority for early detection.
preventive_screening_germany,age,age|20|,Pap Smear,5,core_now,0,1,"Based on German health guidelines, a Pap Smear is recommended at age 20."
preventive_screening_germany,age,age|20|,Genital Exam,5,core_now,0,1,"Based on German health guidelines, a Genital Exam is recommended at age 20."
preventive_screening_germany,age,age|20|,Chlamydia,5,core_now,0,1,"Based on German health guidelines, a Chlamydia is recommended at age 20."
preventive_screening_germany,age,age|20|,Dental,5,core_now,0,1,"Based on German health guidelines, a Dental is recommended at age 20."
preventive_screening_germany,family_history,family_history|HPV risk|,Colposcopy if Pap is abnormal,9,core_now,0,1,Your family history of 'HPV risk' makes this Colposcopy if Pap is abnormal a high priority for early detection.
preventive_screening_germany,age,age|21|,Pap Smear,5,core_now,0,1,"Based on German health guidelines, a Pap Smear is recommended at age 21."
preventive_screening_germany,age,age|21|,Genital Exam,5,core_now,0,1,"Based on German health guidelines, a Genital Exam is recommended at age 21."
preventive_screening_germany,age,age|21|,Chlamydia,5,core_now,0,1,"Based on German health guidelines, a Chlamydia is recommended at age 21."
preventive_screening_germany,age,age|21|,Dental,5,core_now,0,1,"Based on German health guidelines, a Dental is recommended at age 21."
preventive_screening_germany,age,age|22|,Pap Smear,5,core_now,0,1,"Based on German health guidelines, a Pap Smear is recommended at age 22."
preventive_screening_germany,age,age|22|,Genital Exam,5,core_now,0,1,"Based on German health guidelines, a Genital Exam is recommended at age 22."
preventive_screening_germany,age,age|22|,Chlamydia,5,core_now,0,1,"Based on German health guidelines, a Chlamydia is recommended at age 22."
preventive_screening_germany,age,age|22|,Dental,5,core_now,0,1,"Based on German health guidelines, a Dental is recommended at age 22."
preventive_screening_germany,age,age|23|,Pap Smear,5,core_now,0,1,"Based on German health guidelines, a Pap Smear is recommended at age 23."
preventive_screening_germany,age,age|23|,Genital Exam,5,core_now,0,1,"Based on German health guidelines, a Genital Exam is recommended at age 23."
preventive_screening_germany,age,age|23|,Chlamydia,5,core_now,0,1,"Based on German health guidelines, a Chlamydia is recommended at age 23."
preventive_screening_germany,age,age|23|,Dental,5,core_now,0,1,"Based on German health guidelines, a Dental is recommended at age 23."
preventive_screening_germany,age,age|24|,Pap Smear,5,core_now,0,1,"Based on German health guidelines, a Pap Smear is recommended at age 24."
preventive_screening_germany,age,age|24|,Genital Exam,5,core_now,0,1,"Based on German health guidelines, a Genital Exam is recommended at age 24."
preventive_screening_germany,age,age|24|,Chlamydia,5,core_now,0,1,"Based on German health guidelines, a Chlamydia is recommended at age 24."
